################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -9.9687835450422868E-01 a       394     0    18     1    20
  1.0556883720822290E+00 a       395     0    18     1    21
  3.4398206596213998E-01 a       396     0    18     1    22
 -2.5917032737639484E-01 a       397     0    19     1     1
  2.7888676728425260E-01 a       398     0    19     1     2
 -1.9094810310008079E+00 a       399     0    19     1     3
 -1.0946976594669758E-01 a       400     0    19     1     4
 -4.8169007805413271E-02 a       401     0    19     1     5
 -1.2010134716389529E+00 a       402     0    19     1     6
 -3.3424279441948007E-01 a       403     0    19     1     7
  1.2034458112590540E+00 a       404     0    19     1     8
  1.3181167114448098E+00 a       405     0    19     1     9
  4.5184488601435546E-01 a       406     0    19     1    10
 -6.6432732616624235E-01 a       407     0    19     1    11
  1.8901888371429445E+00 a       408     0    19     1    12
  2.1886358204449254E+00 a       409     0    19     1    13
  3.3962560347519588E-01 a       410     0    19     1    14
  4.4842240794860744E-01 a       411     0    19     1    15
 -1.8499921226398801E+00 a       412     0    19     1    16
 -2.1667175809104120E+00 a       413     0    19     1    17
 -6.7384903740001012E-01 a       414     0    19     1    18
  5.0831582328631442E-01 a       415     0    19     1    19
  6.3776012023843776E-01 a       416     0    19     1    20
  1.7280027967286533E+00 a       417     0    19     1    21
 -5.9136376641698130E-01 a       418     0    19     1    22
 -7.3198723216645900E-01 a       419     0    20     1     1
  6.1621675641012563E-01 a       420     0    20     1     2
  7.9711202627975197E-01 a       421     0    20     1     3
 -2.6818765484489990E+00 a       422     0    20     1     4
  1.1196739737311265E+00 a       423     0    20     1     5
 -2.3327129744708278E-01 a       424     0    20     1     6
 -7.6161354386717783E-02 a       425     0    20     1     7
 -1.1478160418634515E+00 a       426     0    20     1     8
 -3.7884209104933784E+00 a       427     0    20     1     9
  1.3603368272711096E+00 a       428     0    20     1    10
 -1.5218564043263001E+00 a       429     0    20     1    11
 -1.1926020243664732E+00 a       430     0    20     1    12
 -1.1293962433925495E+00 a       431     0    20     1    13
 -1.1196385635100142E-01 a       432     0    20     1    14
 -2.7191291744662700E+00 a       433     0    20     1    15
 -1.4324471240720396E+00 a       434     0    20     1    16
 -8.1497054237710775E-01 a       435     0    20     1    17
  6.4990497079315179E-01 a       436     0    20     1    18
  2.6250575162242842E+00 a       437     0    20     1    19
  2.9587017115911216E+00 a       438     0    20     1    20
 -1.5948886991926162E-01 a       439     0    20     1    21
  1.8962082217838103E+00 a       440     0    20     1    22
 -6.3577866094158797E-01 a       441     0    21     1     1
  7.5440286135350410E-01 a       442     0    21     1     2
  5.3319142503252481E-01 a       443     0    21     1     3
  4.8572129240169132E-01 a       444     0    21     1     4
  1.1214700814626199E+00 a       445     0    21     1     5
