################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2         25   0.0000000000000000E+00   2.9580381607365269E-01   4.4159368949082727E-02   6.5636189907347875E-02
         2         26   4.0667060574400695E-11   3.7234400194308026E-01   8.7514829044082684E-02   6.9647295932170075E-02
         2         27   6.9745515012170176E-02   3.2806444277306956E-01   1.8280212651870217E-01   7.1723055405436581E-02
         2         28   0.0000000000000000E+00   2.8504528702538445E-01   6.0443244661426289E-02   8.2073222081841202E-02
         2         29   5.5900913697800103E-09   5.1865810352902131E-01   1.3841919413525114E-01   1.2232242451481158E-01
         2         30   2.7176760012751641E-02   2.2830726479118527E-01   1.0992335989548604E-01   3.5596731461256199E-02
         2         31   0.0000000000000000E+00   1.8924703261937917E-01   4.2149335022398440E-02   5.0409324664352613E-02
         2         32   3.6426504734587383E-07   4.1442254075696139E-01   1.3753107234642445E-01   1.0139389497649598E-01
         2         33   1.8641429607142688E-02   2.9500583190726681E-01   1.4382986836262274E-01   5.7825880538235036E-02
         2         34   0.0000000000000000E+00   9.3221946892138377E-02   2.1464755434122431E-02   1.7837993689118047E-02
         2         35   1.1063943579477677E-05   2.6060902508823408E-01   9.6186190675174602E-02   4.7653382345114334E-02
         2         36   3.3082470960248078E-02   2.7073950535370611E-01   1.4703856962153081E-01   4.5198352660054147E-02
         2         37   0.0000000000000000E+00   1.0665205611030265E-01   1.7937298750792498E-02   2.3880022614687090E-02
         2         38   1.5810182393447082E-04   1.9066555159408230E-01   6.5759859210431953E-02   3.2959938804706407E-02
         2         39   3.9743037634334386E-02   1.8042175263130034E-01   8.8890884013642757E-02   1.8215087211250373E-02
         2         40   0.0000000000000000E+00   7.5606326365450394E-02   1.5524195303715892E-02   1.9947342545018454E-02
         2         41   3.2026538492113720E-04   1.3593111313695128E-01   4.3841390195667587E-02   2.2879270885368133E-02
         2         42   9.9672933830046925E-03   1.0853696122155540E-01   3.7704138132273135E-02   1.1749275543599167E-02
         2         43   0.0000000000000000E+00   4.1984295012531897E-02   8.6313694015217879E-03   9.5204941603925577E-03
         2         44   3.5216079767867539E-05   9.2628241146434073E-02   2.6001953515529103E-02   1.3885536985360089E-02
         2         45   1.3340478016725000E-03   7.1556092298842036E-02   1.6598372680525088E-02   1.0287159637504192E-02
         2         46   0.0000000000000000E+00   2.2982547302483832E-02   3.5680270656706444E-03   3.9869695502352948E-03
         2         47   2.5490899140171108E-01   1.1525119497701861E+00   7.5647588615246086E-01   1.7061334466070041E-01
         2         48   5.3678288112155659E-01   1.3688124657603953E+00   8.4283073575787426E-01   1.5926763046826231E-01
         2         49   7.3374801547896589E-03   2.9528596525825185E-01   1.4694023804221101E-01   5.7089310777882686E-02
         2         50   2.5087628350942935E-02   1.8308940700836690E-01   9.4857595724142138E-02   2.4514117683567344E-02
         2         51   1.1196089412258158E-02   1.8192823362887162E-01   9.6530767136927681E-02   3.2723805547291165E-02
         2         52   4.1667408743485626E-06   6.7197448741539739E-02   1.9425721449936116E-02   1.1152630576041964E-02
         2         53   4.8174142633405394E-02   7.8567556619979106E-01   2.9872837657534718E-01   1.1797736262748165E-01
         2         54   5.3955323315598748E-02   8.0982773473551817E-01   2.6093605433733563E-01   1.1768502299316051E-01
         2         55   1.6938381462249350E-06   1.7992253309189493E-01   4.4979216411928986E-02   4.1030767960036164E-02
         2         56   2.4712753196798370E-02   4.9123376871335250E-01   2.1457124073636522E-01   7.5147368181200144E-02
         2         57   2.3763635987571020E-02   5.6085690271508448E-01   2.1532127970834730E-01   9.8517392367516846E-02
         2         58   1.8188460440985902E-06   1.8412066820209963E-01   3.6178088408853545E-02   3.4317968769455295E-02
         2         59   1.3707675358983451E-02   3.1538118252435232E-01   1.4161502220463756E-01   5.0087956132057999E-02
         2         60   8.7871818724954871E-03   3.4203659662717734E-01   1.5065480977089141E-01   6.2930306028716423E-02
         2         61   1.8274454947034293E-08   1.2850059799998723E-01   2.7748331006796526E-02   2.3000436774188254E-02
